Active_AUID,Retired_AUID,Historical_AUID
AK_R_8031008_001,AK-80310-022,AK-20503-004_00
AK_R_8031008_004,AK-80310-025,
AK_R_8031014_008,AK-80310-007,
AK_R_8031014_014,AK-80310-026,
AK_R_8031014_020,AK-80310-004,
AK_R_8031014_021,AK-80310-005,
AK_R_8031014_022,AK-80310-006,
AK_R_8031016_002,AK-40510-001,AK-40510-001_00
AK_R_8031017_003,AK-40510-005,AK-40502-101_00
AK_R_8031017_006,AK-40510-002,
AK_R_8031017_007,AK-80310-016,
AK_R_8031018_004,AK-80310-028,
AK_R_8031018_005,AK-80310-011,
AK_R_8031018_007,AK-80310-014,
AK_R_8031018_009,AK-80310-009,
AK_R_8031018_010,AK-80310-008,
AK_R_8031018_015,AK-40510-003,AK-40501-101_00
AK_R_8031018_019,AK-80310-010,
AK_R_8031019_001,AK-80310-024,
AK_R_8031024_003,AK-80310-019,
AK_R_8031024_005,AK-80310-003,
AK_R_8031024_009_001,AK-40510-004,
AK_R_8031024_010,AK-80310-020,
AK_R_8031024_011,AK-80310-001,
AK_R_8031024_012,AK-80310-013,
AK_R_8031024_013,AK-80310-002,
AK_R_8031025_001,AK-80310-017,
AK_R_8031025_003,AK-80310-015,
AK_R_8031026_008,AK-80310-023,
AK_R_8031026_013,AK-80310-021,
AK_R_8031118_013,AK-40506-010_00,AK-40507-003_00
AK_R_8040102_004,AK-40402-001_02,
AK_R_8040102_006,AK-40402-001_04,
AK_R_8040102_009,AK-40402-001_03,
AK_R_8040102_012_002,AK-40402-001,
AK_R_8040102_017,AK-40402-001_01,
AK_R_8040108_002,AK-40402-010_09,
AK_R_8040108_005_001,AK-40402-010_07,
AK_R_8040108_006,AK-80401-007,
AK_R_8040108_007_002,AK-40402-010_06,
AK_R_8040108_008,AK-40402-010_05,
AK_R_8040108_017,AK-40402-010_10,
AK_R_8040108_019_001,AK-40402-010_02,
AK_R_8040108_022,AK-40402-010_04,
AK_R_8040108_024_001,AK-40402-010_03,
AK_R_8040108_027,AK-40402-010_08,
AK_R_8040411_021,AK-40404-001_00,
AK_R_9010105_007,,
AK_R_9010813_003,AK-40608-002,AK-40608-002_00
AK_R_9010813_009,AK-40608-001_00,
AK_R_9020405_010,AK-40703-001_00,
AK_R_9020511_017,AK-40705-001,
AK_R_9020521_002,AK-40705-002,AK-40705-002_00
AK_R_9030528_004,AK-30502-002_00,
AK_R_1010305_005,AK-10103-008_00,
AK-10103-501_00,,
AK_R_1010302_005,AK-10103-603_00,
AK-20202-802,,
